PaperId,link,source,host,available
p61,http://tinyurl.com/pull-resourcesreplication,,---,No
p52,http://cstar.whu.edu.cn/p/cpr/,,GitHub/BitBucket,Yes
p12,https://sites.google.com/a/utexas.edu/critics/,,GitHub/BitBucket,Yes
p17,https://github.com/Mining-multiple-reposdata/experimental,,GitHub/BitBucket,No
p23,https://github.com/SAILResearch/replication-code_review_sw_quality,,GitHub/BitBucket,Yes
p28,https://github.com/SAILResearch/replication-code_review_sw_quality,,GitHub/BitBucket,Yes
p32,https://github.com/yiu31802/icsme2016,,GitHub/BitBucket,Yes
p34,https://github.com/patanamon/revfinder,https://github.com/patanamon/revfinder,GitHub/BitBucket,Yes
p58,https://github.com/software-rebels/DesignInCodeReviews-ESEM2018,,GitHub/BitBucket,Yes
p62,https://bitbucket.org/foundjem/ml-issuetk/src,https://bitbucket.org/foundjem/ml-issuetk/src,GitHub/BitBucket,Other
p65,http://github.com/patanamon/revfinder,http://github.com/patanamon/revfinder,GitHub/BitBucket,Yes
p68,https://github.com/felipeebert/confusion-code-reviews,https://github.com/felipeebert/confusion-in-code-reviews,GitHub/BitBucket,Yes
pj3,https://github.com/SAILResearch/replication-participation_code_review,https://github.com/SAILResearch/replication-participation_code_review,GitHub/BitBucket,Yes
pj4,https://cs.uwaterloo.ca/~obaysal/webkit_data.sqlite,,GitHub/BitBucket,No
pj5,https://github.com/SAILResearch/replication-code_review_sw_quality_extension,https://github.com/SAILResearch/replication-code_review_sw_quality_extension,GitHub/BitBucket,Yes
pj6,https://github.com/software-rebels/JITMovingTarget,https://github.com/software-rebels/JITMovingTarget,GitHub/BitBucket,Yes
pj13,https://github.com/yuyue/pullreq_ci,,GitHub/BitBucket,Yes
pj28,https://github.com/sruangwan/replication-human-factors-code-review/,,GitHub/BitBucket,Yes
p67,https://www.dropbox.com/sh/lyntljcsimcn2p8/AAD7mHQk3bOVm9EpQVDW0h0qa?dl=0,,Online Storage,Yes
p04,https://doi.org/10.5281/zenodo.1172419,,Permanent Storage,Yes
p72,https://zenodo.org/record/3354510\#.X1i3W2czbLA,,Permanent Storage,Yes
p76,https://osf.io/m9t6f/?view_only=35c5846fe1d24458a3ed32b72254140f,https://github.com/Tbabm/PRSummarizer,Permanent Storage,Yes
pj27,http://kin-y.github.io/miningReviewRepo/,https://github.com/kin-y/miningReviewRepo,Personal/University,Yes
p03,https://cs.uwaterloo.ca/~okononen/shopify,,Personal/University,No
p05,http://dijkstra.cs.virginia.edu/fmri/,,Personal/University,No
p21,https://homepage.usask.ca/masud.rahman/revhelper,,Personal/University,No
p31,http://kin-y.github.io/miningReviewRepo/,https://github.com/kin-y/miningReviewRepo,Personal/University,Yes
p33,https://cs.uwaterloo.ca/~okononen/bugzilla_public_db.zip,,Personal/University,No
p35,https://www.arrestedcomputing.com/readability/readability.jar,,Personal/University,No
p40,http://amiangshu.com/VCC/index.html,,Personal/University,Yes
p46,https://mhepaixao.github.io/architecture_awareness/,,Personal/University,Yes
p48,https://www.uni-due.de/~hw0433/,,Personal/University,Yes
p49,https://prdeliverydelay.GitHub.io/\#datasets,https://github.com/paluno/ExpertiseExplorer,Personal/University,Yes
p60,https://cs.uwaterloo.ca/~obaysal/webkit_data.sqlite,,Personal/University,No
p66,http://ser.soccerlab.polymtl.ca/ser-repos/public/tr-data/2015-saner-code-reviews.zip,,Personal/University,Other
p70,http://gsyc.es/~jgb/repro/2015-msr-grimoire-data,,Personal/University,No
p73,https://www.mediafire.com/folder/3b5ey849y9flx/Test-Driven_Code_Review_-_Online_Appendix,,Personal/University,Yes
p79,https://github.com/software-rebels/ReviewLinkageGraph,,Personal/University,Yes
pj9,https://research.cs.queensu.ca/~kamei/jittse/jit.zip,,Personal/University,Yes
p06,https://dl.acm.org/doi/10.5555/2487085.2487096,,Reference to Existing Dataset,No
p23,https://dl.acm.org/doi/10.5555/2487085.2487096,,Reference to Existing Dataset,No
p42,https://dl.acm.org/doi/10.5555/2487085.2487095,,Reference to Existing Dataset,Yes
